epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,61.4957,0.99239,1.69035,0.95187,0.79758,0.25451,0.21192,0.14731,0.97347,1.58189,0.99893,0.00330579,0.00330579,0.00330579
2,115.854,0.9207,0.76432,0.91071,0.79971,0.23812,0.19072,0.1258,1.11116,1.76616,1.05029,0.00663255,0.00663255,0.00663255
3,169.731,0.9947,0.79645,0.94172,0.4024,0.19095,0.15405,0.09687,1.21131,2.46574,1.12102,0.00995271,0.00995271,0.00995271
4,228.033,1.04478,0.75666,0.95514,0.23556,0.18362,0.15825,0.09581,1.26928,2.21876,1.17944,0.0099703,0.0099703,0.0099703
5,283.73,1.00223,0.68781,0.94162,0.12769,0.22004,0.12989,0.07727,1.32087,1.91795,1.17322,0.0099604,0.0099604,0.0099604
6,331.954,0.97439,0.65509,0.93469,0.16182,0.18388,0.14623,0.08771,1.39467,2.30005,1.2289,0.0099505,0.0099505,0.0099505
7,380.08,0.94531,0.62925,0.93068,0.1567,0.19562,0.13884,0.0807,1.40293,2.04346,1.24075,0.0099406,0.0099406,0.0099406
8,430.47,0.92511,0.61054,0.92553,0.17674,0.20514,0.16136,0.09622,1.32023,1.86267,1.19876,0.0099307,0.0099307,0.0099307
9,482.053,0.90539,0.60465,0.91693,0.15699,0.20444,0.13602,0.08136,1.33486,2.11006,1.19863,0.0099208,0.0099208,0.0099208
10,530.846,0.88248,0.5886,0.91274,0.20319,0.18586,0.16103,0.09508,1.35317,2.09335,1.2263,0.0099109,0.0099109,0.0099109
11,578.592,0.86977,0.57141,0.91111,0.16444,0.22399,0.16393,0.10145,1.29508,2.15097,1.1851,0.009901,0.009901,0.009901
12,626.307,0.84874,0.55423,0.90154,0.18915,0.21716,0.16261,0.10011,1.34252,2.21834,1.217,0.0098911,0.0098911,0.0098911
13,675.886,0.83994,0.54262,0.90022,0.20394,0.18251,0.1613,0.09803,1.26556,2.09161,1.18799,0.0098812,0.0098812,0.0098812
14,724.12,0.82838,0.53056,0.89898,0.19063,0.21096,0.17337,0.11004,1.247,2.05118,1.15552,0.0098713,0.0098713,0.0098713
15,772.218,0.81733,0.52921,0.89409,0.17456,0.17715,0.14387,0.08978,1.3209,2.49613,1.19382,0.0098614,0.0098614,0.0098614
16,823.198,0.80013,0.51646,0.89087,0.18224,0.18076,0.15954,0.10409,1.27752,2.45801,1.19494,0.0098515,0.0098515,0.0098515
17,872.889,0.79659,0.50754,0.88977,0.20464,0.20764,0.17203,0.10592,1.32495,2.22751,1.21244,0.0098416,0.0098416,0.0098416
18,925.973,0.78117,0.50133,0.88626,0.16747,0.18491,0.15904,0.09744,1.32211,2.23309,1.2252,0.0098317,0.0098317,0.0098317
19,973.393,0.78139,0.50144,0.88596,0.16789,0.23286,0.1739,0.10884,1.3012,2.02385,1.21799,0.0098218,0.0098218,0.0098218
20,1025.89,0.76123,0.49196,0.87965,0.1853,0.20037,0.16004,0.10107,1.29141,2.37387,1.20297,0.0098119,0.0098119,0.0098119
21,1074,0.76549,0.48912,0.88311,0.20102,0.22123,0.18799,0.11939,1.26829,1.89216,1.18369,0.009802,0.009802,0.009802
22,1121.7,0.75871,0.48428,0.87763,0.18935,0.20249,0.16014,0.10097,1.25511,2.02825,1.18311,0.0097921,0.0097921,0.0097921
23,1169.93,0.75949,0.4881,0.87864,0.18103,0.21861,0.16812,0.10617,1.23819,2.09898,1.17799,0.0097822,0.0097822,0.0097822
24,1216.75,0.73579,0.47875,0.87763,0.19451,0.20324,0.17135,0.10818,1.23617,2.18779,1.18369,0.0097723,0.0097723,0.0097723
25,1270.5,0.74557,0.47211,0.87549,0.2105,0.22116,0.19628,0.12392,1.24154,1.91943,1.18729,0.0097624,0.0097624,0.0097624
26,1318.27,0.73987,0.46785,0.87515,0.15763,0.21487,0.15688,0.09891,1.27759,2.18859,1.19638,0.0097525,0.0097525,0.0097525
27,1366.26,0.73292,0.46401,0.87231,0.15384,0.19214,0.13127,0.08391,1.26119,2.56046,1.1828,0.0097426,0.0097426,0.0097426
28,1413.93,0.72221,0.45756,0.86794,0.18786,0.2266,0.17821,0.11508,1.20991,2.00887,1.16708,0.0097327,0.0097327,0.0097327
29,1463.26,0.72212,0.4592,0.86866,0.18261,0.2248,0.18021,0.11642,1.23798,2.08266,1.19047,0.0097228,0.0097228,0.0097228
30,1516.55,0.70482,0.44956,0.86411,0.19034,0.19939,0.16296,0.10229,1.26043,2.02067,1.18076,0.0097129,0.0097129,0.0097129
